Year,Année,ISO,Jurisdiction,Juridiction,Species group,"Groupe d'espèces",Tenure (En),Tenure (Fr),Area (hectares),Data Qualifier,Superficie (en hectare),Qualificatifs de données
1975,1975,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Miscellaneous hardwoods,Feuillus divers,Unspecified,Indéterminé,,u,,u
1975,1975,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Miscellaneous softwoods,Résineux divers,Provincial land,Terres provinciales,,u,,u
1975,1975,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Miscellaneous softwoods,Résineux divers,Private land,Terres privées,,u,,u
1975,1975,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Miscellaneous softwoods,Résineux divers,Unspecified,Indéterminé,,u,,u
1975,1975,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Pine,Pin,Provincial land,Terres provinciales,,u,,u
1975,1975,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Pine,Pin,Private land,Terres privées,,u,,u
1975,1975,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Pine,Pin,Unspecified,Indéterminé,,u,,u
1975,1975,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Spruce,Épinette,Provincial land,Terres provinciales,,u,,u
1975,1975,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Spruce,Épinette,Private land,Terres privées,,u,,u
1975,1975,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Spruce,Épinette,Unspecified,Indéterminé,,u,,u
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Douglas-fir,Douglas taxifolié,Provincial land,Terres provinciales,,u,,u
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Douglas-fir,Douglas taxifolié,Private land,Terres privées,,u,,u
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Douglas-fir,Douglas taxifolié,Unspecified,Indéterminé,,u,,u
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Fir,Sapin,Provincial land,Terres provinciales,,u,,u
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Fir,Sapin,Private land,Terres privées,,u,,u
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Fir,Sapin,Unspecified,Indéterminé,,u,,u
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Miscellaneous hardwoods,Feuillus divers,Provincial land,Terres provinciales,,u,,u
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Miscellaneous hardwoods,Feuillus divers,Private land,Terres privées,,u,,u
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Miscellaneous hardwoods,Feuillus divers,Unspecified,Indéterminé,,u,,u
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Miscellaneous softwoods,Résineux divers,Provincial land,Terres provinciales,,u,,u
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Miscellaneous softwoods,Résineux divers,Private land,Terres privées,,u,,u
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Miscellaneous softwoods,Résineux divers,Unspecified,Indéterminé,,u,,u
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Pine,Pin,Provincial land,Terres provinciales,,u,,u
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Pine,Pin,Private land,Terres privées,,u,,u
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Pine,Pin,Unspecified,Indéterminé,,u,,u
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Spruce,Épinette,Provincial land,Terres provinciales,,u,,u
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Spruce,Épinette,Private land,Terres privées,,u,,u
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Spruce,Épinette,Unspecified,Indéterminé,,u,,u
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Douglas-fir,Douglas taxifolié,Provincial land,Terres provinciales,,u,,u
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Douglas-fir,Douglas taxifolié,Private land,Terres privées,,u,,u
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Douglas-fir,Douglas taxifolié,Unspecified,Indéterminé,,u,,u
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Fir,Sapin,Provincial land,Terres provinciales,,u,,u
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Fir,Sapin,Private land,Terres privées,,u,,u
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Fir,Sapin,Unspecified,Indéterminé,,u,,u
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Miscellaneous hardwoods,Feuillus divers,Provincial land,Terres provinciales,,u,,u
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Miscellaneous hardwoods,Feuillus divers,Private land,Terres privées,,u,,u
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Miscellaneous hardwoods,Feuillus divers,Unspecified,Indéterminé,,u,,u
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Miscellaneous softwoods,Résineux divers,Provincial land,Terres provinciales,,u,,u
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Miscellaneous softwoods,Résineux divers,Private land,Terres privées,,u,,u
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Miscellaneous softwoods,Résineux divers,Unspecified,Indéterminé,,u,,u
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Pine,Pin,Provincial land,Terres provinciales,,u,,u
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Pine,Pin,Private land,Terres privées,,u,,u
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Pine,Pin,Unspecified,Indéterminé,,u,,u
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Spruce,Épinette,Provincial land,Terres provinciales,,u,,u
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Spruce,Épinette,Private land,Terres privées,,u,,u
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Spruce,Épinette,Unspecified,Indéterminé,,u,,u
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,Provincial land,Terres provinciales,,u,,u
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,Private land,Terres privées,,u,,u
1975,1975,ON,Ontario,Ontario,Douglas-fir,Douglas taxifolié,Provincial land,Terres provinciales,,u,,u
1975,1975,ON,Ontario,Ontario,Douglas-fir,Douglas taxifolié,Private land,Terres privées,,u,,u
1975,1975,ON,Ontario,Ontario,Douglas-fir,Douglas taxifolié,Unspecified,Indéterminé,,u,,u
1975,1975,ON,Ontario,Ontario,Fir,Sapin,Provincial land,Terres provinciales,,u,,u
1975,1975,ON,Ontario,Ontario,Fir,Sapin,Private land,Terres privées,,u,,u
