Year,Année,ISO,Jurisdiction,Juridiction,Species group,"Groupe d'espèces",Tenure (En),Tenure (Fr),Number of seedlings,Data qualifier,Nombre de semis,Qualificatifs de données
1979,1979,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1979,1979,QC,Quebec,Québec,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1979,1979,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1979,1979,YK,Yukon,Yukon,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1980,1980,AB,Alberta,Alberta,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1980,1980,AB,Alberta,Alberta,Douglas-fir,Douglas taxifolié,Provincial land,Terres provinciales,0,a,0,a
1980,1980,AB,Alberta,Alberta,Fir,Sapin,Provincial land,Terres provinciales,0,a,0,a
1980,1980,AB,Alberta,Alberta,Miscellaneous hardwoods,Feuillus divers,Provincial land,Terres provinciales,0,a,0,a
1980,1980,AB,Alberta,Alberta,Miscellaneous softwoods,Résineux divers,Provincial land,Terres provinciales,0,a,0,a
1980,1980,AB,Alberta,Alberta,Pine,Pin,Provincial land,Terres provinciales,3939180,a,3939180,a
1980,1980,AB,Alberta,Alberta,Spruce,Épinette,Provincial land,Terres provinciales,8677652,a,8677652,a
1980,1980,AB,Alberta,Alberta,Unspecified,Indéterminée,Provincial land,Terres provinciales,0,a,0,a
1980,1980,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1980,1980,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1980,1980,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1980,1980,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1980,1980,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1980,1980,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1980,1980,ON,Ontario,Ontario,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1980,1980,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1980,1980,QC,Quebec,Québec,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1980,1980,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1980,1980,YK,Yukon,Yukon,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1981,1981,AB,Alberta,Alberta,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1981,1981,AB,Alberta,Alberta,Douglas-fir,Douglas taxifolié,Provincial land,Terres provinciales,0,a,0,a
1981,1981,AB,Alberta,Alberta,Fir,Sapin,Provincial land,Terres provinciales,0,a,0,a
1981,1981,AB,Alberta,Alberta,Miscellaneous hardwoods,Feuillus divers,Provincial land,Terres provinciales,0,a,0,a
1981,1981,AB,Alberta,Alberta,Miscellaneous softwoods,Résineux divers,Provincial land,Terres provinciales,9000,a,9000,a
1981,1981,AB,Alberta,Alberta,Pine,Pin,Provincial land,Terres provinciales,4506554,a,4506554,a
1981,1981,AB,Alberta,Alberta,Spruce,Épinette,Provincial land,Terres provinciales,9873413,a,9873413,a
1981,1981,AB,Alberta,Alberta,Unspecified,Indéterminée,Provincial land,Terres provinciales,0,a,0,a
1981,1981,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1981,1981,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1981,1981,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1981,1981,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1981,1981,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1981,1981,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1981,1981,ON,Ontario,Ontario,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1981,1981,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1981,1981,QC,Quebec,Québec,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1981,1981,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1981,1981,YK,Yukon,Yukon,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1982,1982,AB,Alberta,Alberta,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1982,1982,AB,Alberta,Alberta,Douglas-fir,Douglas taxifolié,Provincial land,Terres provinciales,0,a,0,a
1982,1982,AB,Alberta,Alberta,Fir,Sapin,Provincial land,Terres provinciales,0,a,0,a
1982,1982,AB,Alberta,Alberta,Miscellaneous hardwoods,Feuillus divers,Provincial land,Terres provinciales,0,a,0,a
1982,1982,AB,Alberta,Alberta,Miscellaneous softwoods,Résineux divers,Provincial land,Terres provinciales,0,a,0,a
1982,1982,AB,Alberta,Alberta,Pine,Pin,Provincial land,Terres provinciales,5646803,a,5646803,a
1982,1982,AB,Alberta,Alberta,Spruce,Épinette,Provincial land,Terres provinciales,17766779,a,17766779,a
1982,1982,AB,Alberta,Alberta,Unspecified,Indéterminée,Provincial land,Terres provinciales,0,a,0,a
1982,1982,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1982,1982,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1982,1982,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1982,1982,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1982,1982,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
1982,1982,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,Federal land,Terres fédérales,0,a,0,a
